icpsr,bioname,party_code,state_abbrev,nominate_dim1,nominate_dim2,total_yay,term_total_career,term_total_period,term_total_after,loyal,79,80,81,82,83,84,X79_year
39,"ADAMS, Sherman",200,NH,0.18,-0.489,4,1,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
116,"ALLEN, John Joseph, Jr.",200,CA,0.2,-0.39,30,6,5,1,N,NA,Interventionist,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
121,"ALLEN, Leo Elwood",200,IL,0.384,-0.091,17,14,6,2,N,Interventionist,Isolationist,Isolationist,Isolationist,Interventionist,Interventionist,1945
158,"ANDERSEN, Herman Carl",200,MN,0.294,0.107,6,12,6,3,N,Fence Sitter,Interventionist,Isolationist,Fence Sitter,Fence Sitter,Fence Sitter,1945
173,"ANDERSON, John Zuinglius",200,CA,0.226,-0.016,11,7,4,NA,N,Interventionist,Interventionist,Isolationist,Fence Sitter,NA,NA,1945
188,"ANDRESEN, August Herman",200,MN,0.318,0.143,7,16,6,1,N,Fence Sitter,Fence Sitter,Isolationist,Fence Sitter,Fence Sitter,Interventionist,1945
200,"ANDREWS, Walter Gresham",200,NY,0.245,-0.209,12,9,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
207,"ANGELL, Homer Daniel",200,OR,0.06,-0.516,24,8,5,NA,N,Interventionist,Interventionist,Interventionist,Interventionist,Fence Sitter,NA,1945
226,"ARENDS, Leslie Cornelius",200,IL,0.301,-0.187,26,20,6,9,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,Interventionist,Interventionist,1945
235,"ARMSTRONG, Orland Kay",200,MO,0.255,-0.005,6,1,1,NA,Y,NA,NA,NA,Interventionist,NA,NA,1945
248,"ARNOLD, Samuel Washington (Wat)",200,MO,0.509,-0.068,4,3,2,NA,N,Interventionist,Isolationist,NA,NA,NA,NA,1945
291,"AUCHINCLOSS, James Coats",200,NJ,0.195,-0.475,39,11,6,4,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
301,"AVERY, William Henry",200,KS,0.169,-0.047,7,5,1,4,Y,NA,NA,NA,NA,NA,Interventionist,1945
310,"AYRES, William Hanes",200,OH,0.139,-0.353,20,10,3,7,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
364,"BAKER, Howard Henry",200,TN,0.11,-0.003,12,7,3,4,N,NA,NA,NA,Fence Sitter,Interventionist,Interventionist,1945
377,"BAKEWELL, Claude Ignatius",200,MO,0.037,-0.826,15,2,2,NA,Y,NA,Interventionist,NA,Interventionist,NA,NA,1945
387,"BALDWIN, John Finley, Jr.",200,CA,0.055,-0.315,8,6,1,5,Y,NA,NA,NA,NA,NA,Interventionist,1945
388,"BALDWIN, Joseph Clark",200,NY,-0.041,-0.934,5,3,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
464,"BARRETT, Frank Aloysius",200,WY,0.332,-0.046,5,4,3,NA,N,Fence Sitter,Interventionist,Isolationist,NA,NA,NA,1945
503,"BASS, Perkins",200,NH,0.226,-0.635,7,4,1,3,Y,NA,NA,NA,NA,NA,Interventionist,1945
512,"BATES, George Joseph",200,MA,0.223,-0.377,13,7,3,NA,N,Interventionist,Interventionist,Fence Sitter,NA,NA,NA,1945
518,"BATES, William Henry",200,MA,0.196,-0.478,21,11,4,7,N,NA,NA,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
521,"BAUMHART, Albert David, Jr.",200,OH,0.194,-0.299,5,4,1,2,Y,NA,NA,NA,NA,NA,Interventionist,1945
546,"BEALL, James Glenn",200,MD,0.176,-0.55,23,5,4,NA,Y,Interventionist,Interventionist,Interventionist,Interventionist,NA,NA,1945
563,"BECKER, Frank John",200,NY,0.364,-0.428,11,6,2,4,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
621,"BENDER, George Harrison",200,OH,0.179,-0.893,8,7,4,NA,N,Fence Sitter,Fence Sitter,NA,Interventionist,Fence Sitter,NA,1945
629,"BENNET, Augustus Witschief",200,NY,0.061,-0.3,4,1,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
652,"BENTLEY, Alvin Morell",200,MI,0.331,-0.294,6,4,2,2,N,NA,NA,NA,NA,Fence Sitter,Interventionist,1945
758,"BLACKNEY, William Wallace",200,MI,0.282,-0.367,11,8,4,NA,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
823,"BOGGS, James Caleb",200,DE,0.21,-0.673,8,3,3,NA,N,NA,Fence Sitter,Fence Sitter,Interventionist,NA,NA,1945
837,"BOLTON, Frances Payne",200,OH,0.228,-0.461,36,15,6,6,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
838,"BOLTON, Oliver Payne",200,OH,0.271,-0.445,6,3,2,1,N,NA,NA,NA,NA,Interventionist,Fence Sitter,1945
845,"BONIN, Edward John",200,PA,0.214,-0.375,4,1,1,NA,Y,NA,NA,NA,NA,Interventionist,NA,1945
868,"BOSCH, Albert Henry",200,NY,0.383,-0.224,4,4,2,2,N,NA,NA,NA,NA,Interventionist,Fence Sitter,1945
961,"BRADLEY, Willis Winter",200,CA,0.247,-0.351,6,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
971,"BRAMBLETT, Ernest King",200,CA,0.3,-0.143,12,4,4,NA,N,NA,Interventionist,Fence Sitter,Fence Sitter,Interventionist,NA,1945
1088,"BROPHY, John Charles",200,WI,0.094,-0.689,5,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
1152,"BROWNSON, Charles Bruce",200,IN,0.285,-0.198,11,4,3,1,N,NA,NA,NA,Interventionist,Interventionist,Fence Sitter,1945
1154,"BROYHILL, Joel Thomas",200,VA,0.159,0.223,12,11,2,9,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
1197,"BUCK, Ellsworth Brewer",200,NY,0.363,-0.466,12,3,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
1269,"BURKE, Raymond Hugh",200,OH,0.186,-0.447,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
1328,"BUSH, Alvin Ray",200,PA,0.288,-0.227,7,5,3,2,N,NA,NA,NA,Fence Sitter,Fence Sitter,Interventionist,1945
1371,"BYRNES, John William",200,WI,0.328,-0.236,28,14,6,8,N,Interventionist,Interventionist,Isolationist,Interventionist,Interventionist,Interventionist,1945
1476,"CANFIELD, Gordon",200,NJ,-0.002,-0.983,28,10,6,2,N,Fence Sitter,Interventionist,Interventionist,Interventionist,Interventionist,Fence Sitter,1945
1533,"CARRIGG, Joseph Leonard",200,PA,0.12,-0.403,10,4,3,1,N,NA,NA,NA,Fence Sitter,Interventionist,Interventionist,1945
1542,"CARSON, Henderson Haverfield",200,OH,0.377,-0.131,6,2,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
1569,"CASE, Clifford Philip",200,NJ,-0.108,-0.994,29,5,5,NA,N,Interventionist,Interventionist,Interventionist,Interventionist,Fence Sitter,NA,1945
1570,"CASE, Francis Higbee",200,SD,0.239,0.032,9,7,3,NA,N,Interventionist,Fence Sitter,Interventionist,NA,NA,NA,1945
1610,"CEDERBERG, Elford Albin",200,MI,0.27,-0.144,5,13,2,11,N,NA,NA,NA,NA,Fence Sitter,Interventionist,1945
1614,"CHADWICK, E. Wallace",200,PA,0.126,-0.604,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
1684,"CHENOWETH, John Edgar",200,CO,0.184,-0.116,16,11,5,4,N,Interventionist,Fence Sitter,NA,Fence Sitter,Interventionist,Interventionist,1945
1702,"CHIPERFIELD, Robert Bruce",200,IL,0.324,-0.306,15,12,6,3,N,Interventionist,Isolationist,Isolationist,Fence Sitter,Interventionist,Interventionist,1945
1723,"CHURCH, Ralph Edwin",200,IL,0.407,-0.243,5,7,3,NA,N,Interventionist,Isolationist,Isolationist,NA,NA,NA,1945
1803,"CLASON, Charles Russell",200,MA,0.205,-0.579,12,6,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
1920,"COLE, Albert McDonald",200,KS,0.269,-0.144,12,4,4,NA,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
1928,"COLE, William Clay",200,MO,0.416,-0.101,4,4,3,NA,N,Interventionist,Isolationist,NA,NA,Isolationist,NA,1945
1931,"COLE, William Sterling",200,NY,0.298,-0.091,23,12,6,1,N,Interventionist,Interventionist,Interventionist,Fence Sitter,Fence Sitter,Interventionist,1945
2038,"COON, Samuel Harrison",200,OR,0.414,0.024,5,2,2,NA,N,NA,NA,NA,NA,Isolationist,Interventionist,1945
