Column,icpsr,bioname,district_code,state_abbrev,nominate_dim1,nominate_dim2,total_nay,total_yay,term_total_career,term_total_period,term_total_after,loyal,korea_surge,fate,replaced_by,notes,Faction_79,Faction_80,Faction_81,Faction_82,Faction_83,Faction_84,born,died,age_1945
1,1839,"CLEVENGER, Cliff",5,OH,0.629,-0.04,36,NA,10,6,1,Y,N,Holdout,Not Replaced,Retired,Isolationist,Isolationist,Isolationist,Isolationist,Isolationist,Isolationist,1885,1960,60
2,4487,"HOFFMAN, Clare Eugene",4,MI,0.691,0.232,35,NA,14,6,3,Y,N,Holdout,Not Replaced,,Isolationist,Isolationist,Isolationist,Isolationist,Isolationist,Isolationist,1875,1967,70
3,6061,"MASON, Noah Morgan",12,IL,0.63,0.228,29,NA,13,6,3,N,N,Holdout,Not Replaced,,Isolationist,Isolationist,Isolationist,Isolationist,Noncommitted,Isolationist,1882,1965,63
4,7781,"REED, Daniel Alden",45,NY,0.547,-0.021,28,NA,21,6,2,N,N,Flipped or moderated,Not Replaced,,Isolationist,Isolationist,Isolationist,Isolationist,Isolationist,Noncommitted,1875,1959,70
5,8663,"SMITH, Lawrence Henry",1,WI,0.481,0.015,28,4,9,6,1,N,N,Holdout,Not Replaced,Later died in office,Interventionist,Isolationist,Isolationist,Isolationist,Isolationist,Isolationist,1892,1958,53
6,731,"BISHOP, Cecil William (Runt)",25,IL,0.609,-0.793,26,NA,7,5,NA,N,N,Defeated in general,Noncommitted,"Defeated by interventionist, PRICE, Charles Melvin, regains seat, defeated by fence sitter, GRAY, Kenneth James",Noncommitted,Isolationist,Isolationist,Isolationist,Isolationist,Not in Congress,1890,1971,55
7,7046,"O'KONSKI, Alvin Edward",10,WI,0.067,0.043,26,NA,15,6,8,N,N,Holdout,Not Replaced,,Isolationist,Isolationist,Isolationist,Noncommitted,Isolationist,Isolationist,1904,1987,41
8,3853,"GROSS, Harold Royce",3,IA,0.955,0.298,25,NA,13,4,9,Y,N,Holdout,Not Replaced,Retired. https://en.wikipedia.org/wiki/H._R._Gross,Not in Congress,Not in Congress,Isolationist,Isolationist,Isolationist,Isolationist,1899,1987,46
9,7044,"O'HARA, Joseph Patrick",2,MN,0.387,0.221,23,NA,9,6,1,N,N,Flipped or moderated,Not Replaced,,Isolationist,Isolationist,Isolationist,Isolationist,Noncommitted,Noncommitted,1895,1975,50
10,8709,"SMITH, Wint",6,KS,0.553,0.677,23,NA,7,5,2,N,N,Holdout,Not Replaced,,Not in Congress,Isolationist,Isolationist,Noncommitted,Isolationist,Isolationist,1892,1976,53
11,4720,"HULL, Merlin",9,WI,-0.038,-0.273,22,NA,11,5,NA,N,N,Flipped or moderated,Not Replaced,,Isolationist,Isolationist,Isolationist,Isolationist,Noncommitted,Not in Congress,1870,1953,75
12,8533,"SIMPSON, Sidney Elmer",20,IL,0.309,0.096,22,4,8,6,1,N,N,Flipped or moderated,Not Replaced,,Interventionist,Isolationist,Isolationist,Isolationist,Isolationist,Noncommitted,1894,1958,51
13,6922,"NICHOLSON, Donald William",9,MA,0.368,0.108,21,NA,6,5,1,N,N,Holdout,Not Replaced,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000097,Not in Congress,Noncommitted,Isolationist,Isolationist,Isolationist,Isolationist,1888,1968,57
14,8318,"SCRIVNER, Errett Power",2,KS,0.487,-0.124,21,NA,8,6,1,N,N,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/Errett_P._Scrivner,Noncommitted,Isolationist,Isolationist,Isolationist,Isolationist,Noncommitted,1898,1978,47
15,121,"ALLEN, Leo Elwood",13,IL,0.384,-0.091,20,17,14,6,2,N,N,Flipped or moderated,Not Replaced,,Interventionist,Isolationist,Isolationist,Isolationist,Interventionist,Interventionist,1898,1973,47
16,4911,"JENISON, Edward Halsey",18,IL,0.526,-0.272,20,NA,3,3,NA,Y,N,Defeated in primary,Interventionist,"Defeated by primary by VELDE, Harold Himmel, who later flips. ",Not in Congress,Isolationist,Isolationist,Isolationist,Not in Congress,Not in Congress,1907,1996,38
17,6039,"MARTIN, Thomas Ellsworth",1,IA,0.304,-0.17,20,4,8,5,NA,N,N,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/Thomas_E._Martin,Interventionist,Isolationist,Isolationist,Isolationist,Noncommitted,Not in Congress,1893,1971,52
18,7864,"RICH, Robert Fleming",15,PA,0.664,0.295,20,NA,10,3,NA,Y,N,Retired,Noncommitted,"Replaced by Fence Sitter, BUSH, Alvin Ray and PA-15 later reped by interventionist, WALTER, Francis Eugene
http://archives.dickinson.edu/people/robert-fleming-rich-1883-1968v",Isolationist,Isolationist,Isolationist,Not in Congress,Not in Congress,Not in Congress,1883,1968,62
19,8392,"SHAFER, Paul Werntz",3,MI,0.487,-0.05,19,NA,9,5,NA,N,N,Flipped or moderated,Not Replaced,,Noncommitted,Isolationist,Isolationist,Isolationist,Noncommitted,Not in Congress,1893,1954,52
20,9693,"VURSELL, Charles Wesley",23,IL,0.439,-0.214,19,6,8,6,1,N,N,Flipped or moderated,Not Replaced,"https://history.house.gov/People/Listing/V/VURSELL,-Charles-Wesley-(V000125)/",Noncommitted,Isolationist,Isolationist,Isolationist,Noncommitted,Interventionist,1881,1974,64
21,2267,"CURTIS, Carl Thomas",1,NE,0.492,-0.004,18,5,8,5,NA,N,N,Flipped or moderated,Not Replaced,,Interventionist,Isolationist,Isolationist,Isolationist,Noncommitted,Not in Congress,1905,2000,40
