"","bioname","79","80","81","82","83","84","85","86","87","88","89","90","iso_num","int_num","total_vote","iso_per","wing","nominate_dim1","nominate_dim2","session_no"
"1","AIKEN, George David",52,52,52,52,52,52,52,52,52,52,52,52,49,363,412,0.118932038834951,"Center",0.062,-0.435,12
"2","ALLOTT, Gordon Llewellyn",NA,NA,NA,NA,NA,142,142,142,142,142,142,142,110,223,333,0.33033033033033,"Center",0.308,-0.445,7
"3","AUSTIN, Warren Robinson",296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,17,0.117647058823529,"Center",0.106,-0.515,1
"4","BAKER, Howard Henry, Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11200,23,22,45,0.511111111111111,"Center",0.283,-0.445,1
"5","BALDWIN, Raymond Earl",NA,390,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,27,0.111111111111111,"Center",0.205,-0.694,2
"6","BALL, Joseph Hurst",394,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,19,29,0.344827586206897,"Center",0.241,-0.821,2
"7","BARRETT, Frank Aloysius",NA,NA,NA,NA,464,464,464,NA,NA,NA,NA,NA,56,38,94,0.595744680851064,"Center",0.332,-0.046,3
"8","BEALL, James Glenn",NA,NA,NA,NA,546,546,546,546,546,546,NA,NA,73,166,239,0.305439330543933,"Center",0.176,-0.55,6
"9","BENDER, George Harrison",NA,NA,NA,NA,NA,621,NA,NA,NA,NA,NA,NA,2,43,45,0.0444444444444444,"Center",0.179,-0.893,1
"10","BENNETT, Wallace Foster",NA,NA,NA,645,645,645,645,645,645,645,645,645,177,189,366,0.483606557377049,"Center",0.447,-0.334,9
"11","BOGGS, James Caleb",NA,NA,NA,NA,NA,NA,NA,NA,823,823,823,823,72,147,219,0.328767123287671,"Center",0.21,-0.673,4
"12","BOTTUM, Joseph H.",NA,NA,NA,NA,NA,NA,NA,NA,10801,NA,NA,NA,16,3,19,0.842105263157895,"Center",0.386,-0.234,1
"13","BREWSTER, Ralph Owen",1021,1021,1021,1021,NA,NA,NA,NA,NA,NA,NA,NA,24,33,57,0.421052631578947,"Center",0.271,-0.393,4
"14","BRICKER, John William",NA,1024,1024,1024,1024,1024,1024,NA,NA,NA,NA,NA,75,56,131,0.572519083969466,"Center",0.528,-0.247,6
"15","BRIDGES, Henry Styles (Styles)",1027,1027,1027,1027,1027,1027,1027,1027,1027,NA,NA,NA,49,134,183,0.26775956284153,"Center",0.372,-0.475,9
"16","BROOKE, Edward William, III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11201,4,44,48,0.0833333333333333,"Left",-0.1,-0.995,1
"17","BROOKS, Charles Wayland",1071,1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,10,29,0.655172413793103,"Center",0.417,-0.029,2
"18","BRUNSDALE, Clarence Norman",NA,NA,NA,NA,NA,NA,NA,1167,NA,NA,NA,NA,3,6,9,0.333333333333333,"Center",0.333,-0.22,1
"19","BUCK, Clayton Douglass",1194,1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,25,0.48,"Center",0.373,-0.156,2
"20","BURTON, Harold Hitz",1317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,8,0.25,"Center",0.101,-0.995,1
"21","BUSH, Prescott Sheldon",NA,NA,NA,NA,1329,1329,1329,1329,1329,NA,NA,NA,27,159,186,0.145161290322581,"Center",0.28,-0.945,5
"22","BUSHFIELD, Harlan John",1330,1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,6,25,0.76,"Right",0.485,0.465,2
"23","BUTLER, Hugh Alfred",1338,1338,1338,1338,1338,NA,NA,NA,NA,NA,NA,NA,48,19,67,0.716417910447761,"Right",0.484,0.14,5
"24","BUTLER, John Marshall",NA,NA,NA,1341,1341,1341,1341,1341,1341,NA,NA,NA,75,110,185,0.405405405405405,"Center",0.368,-0.212,6
"25","CAIN, Harry Pulliam",NA,1395,1395,1395,NA,NA,NA,NA,NA,NA,NA,NA,21,28,49,0.428571428571429,"Center",0.352,-0.016,3
