congress,rollnumber,chamber,bill_no,type,reverse_vote,aid_type,bill_name,link_1,link_2,Column,Column2,Column3
79,4,House,HR1752,mil,Y,,Hr 1752. Amend The Selective Training And Service Act Of 1940. On Short Motion To Recommit.,https://voteview.com/rollcall/RH0790004,,,,
79,5,House,HR1752,mil,N,,A Bill To Amend The Selective Training And Service Act Of 1940,"https://voteview.com/rollcall/RH0790005
",,,,
79,9,Senate,HR1752,mil,Y,,Hr 1752. Amend The Selective Training And Service Act. Bushfield Amend. To Eliminate Penalty Clause.,https://voteview.com/rollcall/RS0790009,,,,
79,13,Senate,HR1752,mil,N,,Extend Selective Service,https://voteview.com/rollcall/RS0790013,,,,
79,17,House,HR2013,econ,N,,Extend Lend Lease-one Year,https://voteview.com/rollcall/RH0790017,,,,
79,22,Senate,HR2013,econ,Y,,"Hr 2013. Extend The Lend-lease Act For 1 Year. Taft Amend. Excluding From Lend-lease Furnishing Of Defense Articles, Services, Or Information For Postwar Relief. Vice Pres. Voted In The Negative To Break The Tie.",https://voteview.com/rollcall/RS0790022,,,,
79,23,Senate,HR2013,econ,Y,,"Hr 2013. Langer Amend. Excluding Machinery, Implements, Or Equipment Suitable For Use On The Farm.",https://voteview.com/rollcall/RS0790023,,,,
79,31,House,HJRES145,gov,N,,Joint Resolution Providing For Us Membership In The Fao Of The U.N.,https://voteview.com/rollcall/RH0790031,,,,
79,47,House,HR3314,gov,N,,"Join Imf, World Bank","https://voteview.com/rollcall/RH0790047
",,,,
79,58,Senate,HR3314,gov,Y,,"Hr 3314. Provide For The Participation Of The U.S. In The International Monetary Fund And The International Bank For Reconstruction And Development. Taft Motion That Further Consideration Be Postponed Until Nov. 15, 1945.",https://voteview.com/rollcall/RS0790058,,,,
79,59,Senate,HR3314,gov,Y,,"Hr 3314. Taft Amend. To Provide For Amend. Of Articles Of Agreement, To Remove Restrictions In Article 8.",https://voteview.com/rollcall/RS0790059,,,,
79,60,Senate,HR3314,gov,Y,,"Hr 3314. Ball Amend. To Provide For Amend. Of Articles Of Agreement For International Monetary Fund, To Limit Or Suspend Right Of Member To Use The Fund, Where Exchange Restrictions Exist.",https://voteview.com/rollcall/RS0790060,,,,
79,61,Senate,HR3314,gov,N,,U.S. Joins In The Imf,https://voteview.com/rollcall/RS0790061,,,,
79,63,Senate,HJRE145,gov,N,,H J Res 145. Joint Resolution Providing For Membership Of The U.S. In The Fao Of The Un. Barkley Motion To Proceed To The Consideration Of.,,,,,
79,65,Senate,Treaty,treaty,N,,"Executive F. (79th Cong., 1st Sess.) Charter Of The U.N. Ratification.",https://voteview.com/rollcall/RS0790065,,,,
79,66,Senate,SRE196,gov,Y,,"S Res 196. Resolution Proposing Acceptance By The U.S. Gov't Of Compulsory Jurisdiction Of The International Court Of Justice. Connally Amend To Insert: ""as Determined By The U.S.""",,,,,
79,93,Senate,S1580,gov,Y,,"S 1580. Appointment Of Representatives Of The U.S. To The Un. Taft Amend. To Restrict Vote Of U.S. Representative On The Security Council Under Articles 39, 41, Or 42.",https://voteview.com/rollcall/RS0790093,,,,
79,94,House,HR4649,gov,N,,Enable The Us To Further Participate In The Work Of The Un Relief And Rehabilitation Administration. On Passage.,https://voteview.com/rollcall/RH0790094,,,,
79,94,Senate,S1580,gov,Y,,S 1580. Donnell Amend. To Require Ratification By The Senate Of Agreements W/security Council Instead Of By Resolution Passed By Congress.,https://voteview.com/rollcall/RS0790094,,,,
79,96,House,HRES407,gov,Y,,Resolution Providing For The Consideration Of Hr 3937 To Repeal The War Labor Disputes Act And Abolish The National War Labor Board.,https://voteview.com/rollcall/RH0790096,,,,
79,98,Senate,S1580,gov,Y,,S 1580. Wheeler Amend. To Require Congressional Action To Authorize The Pres. To Use Armed Forces.,https://voteview.com/rollcall/RS0790098,,,,
79,99,Senate,S1580,gov,Y,,S 1580. Taft Amend. To Provide For U.S. Representatives On The Security Council To Urge Limitation Of Armaments And Prohibition Of Certain Weapons.,https://voteview.com/rollcall/RS0790099,,,,
79,100,House,S1580,gov,N,,Provide For The Appointment Of Representatives Of The Us In The Organizations And Agencies Of The Un.,"https://voteview.com/rollcall/RH0790100
",,,,
79,100,Senate,S150,gov,N,,"S 1580 Passage, Appointment Of Rep To Un",https://voteview.com/rollcall/RS0790100,,,,
79,141,Senate,SJRE138,gov,Y,,"S J Res 138. Knowland Amend. Prohibiting Any Payment Of The Loan Until Production In The U.S. Equalled Consumption, And Receipts By The Gov't Exceeded Expenditures.",https://voteview.com/rollcall/RS0790141,,,,
79,145,Senate,SJRE138,gov,Y,,S J Res 138. Ellender Amend. Conditioning The Payment Of Any Part Of The Loan On Purchases By G. B. Of Goods And Services In The U.S. At Not Less Than 90%.,https://voteview.com/rollcall/RS0790145,,,,
79,147,Senate,SJRE138,gov,N,,"Bretton Woods Agreement, Pass",https://voteview.com/rollcall/RS0790147,,,,
79,155,House,HR5604,mil,Y,,"Reduce Certain Appropriations And Contractual Authorizations Available For The Fiscal Year Ending June 30, 1946.",https://voteview.com/rollcall/RH0790155,,,,
79,162,House,HJRE305,gov,N,,"Joint Resolution Providing For Membership And Participation By The Us In Unesco, And Authorizing An Appropriation.",https://voteview.com/rollcall/RH0790162,,,,
