icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
4793,"IGOE, Michael Lambert",House,Democrat,Left,-0.365,-0.017,IL,1885,1967,lost,Midwest,1,1,1,74,74,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5930,"MAIN, Verner Wright",House,Republican,Center,0.271,-0.311,MI,1885,1965,lost,Midwest,3,3,1,74,74,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5758,"LONG, Huey Pierce",Senate,Democrat,Right,0.251,0.862,LA,1893,1935,lost,South,10,10,1,72,74,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
650,"BENSON, Elmer Austin",Senate,Independent,Right,0.02,1,MN,1895,1985,lost,Midwest,3,3,1,74,74,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4948,"JOHNSON, Dewey William",House,Independent,Left,-0.28,-0.96,MN,1899,1941,lost,Midwest,10,10,1,75,75,1,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9125,"SWIFT, George Robinson",Senate,Democrat,Right,0.046,0.999,AL,1887,1972,lost,South,1,1,1,79,79,1,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4831,"ISACSON, Leo",House,Independent,Left,-1,-0.018,NY,1910,1996,greatest,North,9,9,1,80,80,1,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7837,"REYNOLDS, Samuel Williams",Senate,Republican,Right,0.631,-0.492,NE,1890,1988,lost,Midwest,3,3,1,83,83,1,X,X,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4285,"HEINKE, George Henry",House,Republican,Right,0.581,0.24,NE,1882,1940,missionary,Midwest,16,15,0.9375,76,76,1,X,X,0.9375,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2701,"DOWELL, Cassius Clay",House,Republican,Right,0.329,0.644,IA,1864,1940,missionary,Midwest,27,25,0.925925926,64,76,2,X,1,0.875,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
