"","bioname","party_code","icpsr","num","term_total","per_term"
"1","BROYHILL, Joel Thomas","Republican",1154,14,11,1.27272727272727
"2","KILBURN, Clarence Evans","Republican",5235,14,13,1.07692307692308
"3","CRAMER, William Cato","Republican",2143,12,8,1.5
"4","GATHINGS, Ezekiel Candler","Democrat",3506,10,15,0.666666666666667
"5","HARRISON, Burr Powell","Democrat",4125,6,8,0.75
"6","HOEVEN, Charles Bernard","Republican",4482,6,11,0.545454545454545
"7","KING, Carleton James","Republican",10530,6,7,0.857142857142857
"8","POFF, Richard Harding","Republican",7500,5,10,0.5
"9","WEAVER, Phillip Hart","Republican",9895,5,4,1.25
"10","GOODLING, George Atlee","Republican",10521,4,6,0.666666666666667
"11","SMITH, Howard Worth","Democrat",8636,4,18,0.222222222222222
"12","TUCK, William Munford","Democrat",9494,4,8,0.5
"13","WILLIAMS, John Bell","Democrat",10162,4,11,0.363636363636364
"14","ABBITT, Watkins Moorman","Democrat",2,3,13,0.230769230769231
"15","ASHMORE, Robert Thomas","Democrat",270,3,8,0.375
"16","DIES, Martin, Jr.","Democrat",2588,3,10,0.3
"17","GARLAND, Peter Adams","Republican",10519,3,1,3
"18","HALEY, James Andrew","Democrat",3929,3,12,0.25
"19","LENNON, Alton Asa","Democrat",5606,3,8,0.375
"20","ALFORD, Thomas Dale","Democrat",92,2,2,1
"21","BELCHER, Page Henry","Republican",590,2,11,0.181818181818182
"22","BURLESON, Omar Truman","Democrat",1282,2,16,0.125
"23","DAVIS, James Curran","Democrat",2389,2,8,0.25
"24","DOWDY, John Vernard","Democrat",2700,2,10,0.2
"25","FISHER, Ovie Clark","Democrat",3171,2,16,0.125
"26","HARRISON, William Henry","Republican",4139,2,5,0.4
"27","ICHORD, Richard Howard, II","Democrat",10528,2,10,0.2
"28","JENSEN, Benton Franklin","Republican",4928,2,13,0.153846153846154
"29","JONAS, Charles Raper","Republican",5019,2,10,0.2
"30","KITCHIN, Alvin Paul","Democrat",5306,2,3,0.666666666666667
"31","REECE, Brazilla Carroll","Republican",7777,2,18,0.111111111111111
"32","WINSTEAD, William Arthur","Democrat",10279,2,11,0.181818181818182
"33","ANDERSEN, Herman Carl","Republican",158,1,12,0.0833333333333333
"34","BATTIN, James Franklin","Republican",10503,1,5,0.2
"35","COLMER, William Meyers","Democrat",1952,1,20,0.05
"36","KNOX, Victor Alfred","Republican",5349,1,6,0.166666666666667
"37","MARSH, John Otho, Jr.","Democrat",10603,1,4,0.25
"38","MARTIN, David Thomas","Republican",10534,1,7,0.142857142857143
"39","NEAL, William Elmer","Republican",6851,1,2,0.5
"40","O'KONSKI, Alvin Edward","Republican",7046,1,15,0.0666666666666667
"41","POOL, Joe Richard","Democrat",10615,1,3,0.333333333333333
"42","REECE, Louise Goff","Republican",10547,1,1,1
"43","ROBESON, Edward John, Jr.","Democrat",7969,1,5,0.2
"44","ROUSSELOT, John Harbin","Republican",10553,1,8,0.125
"45","WAGGONNER, Joseph David, Jr.","Democrat",10567,1,9,0.111111111111111
"46","WATSON, Albert William","Democrat",90634,1,2,0.5
