"","icpsr","bioname","state_abbrev","party_code","district_code","num","congress","state","ID"
"1","2","ABBITT, Watkins Moorman","VA","Democrat","4","4","84","Virginia","051083089004"
"2","13","ABERNETHY, Thomas Gerstle","MS","Democrat","1","5","84","Mississippi","028083084001"
"3","18","ADAIR, Edwin Ross","IN","Republican","4","4","84","Indiana","018078089004"
"4","82","ALEXANDER, Hugh Quincy","NC","Democrat","9","5","84","North Carolina","037078087009"
"5","93","ALGER, Bruce Reynolds","TX","Republican","5","5","84","Texas","048083085005"
"6","158","ANDERSEN, Herman Carl","MN","Republican","7","6","84","Minnesota","027074087007"
"7","188","ANDRESEN, August Herman","MN","Republican","1","2","84","Minnesota","027074087001"
"8","195","ANDREWS, George William","AL","Democrat","3","4","84","Alabama","001073087003"
"9","226","ARENDS, Leslie Cornelius","IL","Republican","17","1","84","Illinois","017083087017"
"10","270","ASHMORE, Robert Thomas","SC","Democrat","4","4","84","South Carolina","045073088004"
"11","339","BAILEY, Cleveland Monroe","WV","Democrat","3","5","84","West Virginia","054083087003"
"12","364","BAKER, Howard Henry","TN","Republican","2","1","84","Tennessee","047083089002"
"13","431","BARDEN, Graham Arthur","NC","Democrat","3","6","84","North Carolina","037078087003"
"14","504","BASS, Ross","TN","Democrat","6","3","84","Tennessee","047083089006"
"15","521","BAUMHART, Albert David, Jr.","OH","Republican","13","3","84","Ohio","039083087013"
"16","550","BEAMER, John Valentine","IN","Republican","5","5","84","Indiana","018078089005"
"17","590","BELCHER, Page Henry","OK","Republican","1","5","84","Oklahoma","040083090001"
"18","608","BELL, John Junior","TX","Democrat","14","4","84","Texas","048083085014"
"19","639","BENNETT, John Bonifas","MI","Republican","12","5","84","Michigan","026083087012"
"20","652","BENTLEY, Alvin Morell","MI","Republican","8","2","84","Michigan","026083087008"
"21","672","BERRY, Ellis Yarnal","SD","Republican","2","6","84","South Dakota","046073089002"
"22","680","BETTS, Jackson Edward","OH","Republican","8","4","84","Ohio","039083087008"
"23","798","BLITCH, Iris Faircloth","GA","Democrat","8","4","84","Georgia","013073088008"
"24","846","BONNER, Herbert Covington","NC","Democrat","1","4","84","North Carolina","037078087001"
"25","868","BOSCH, Albert Henry","NY","Republican","5","5","84","New York","036083087005"
"26","891","BOW, Frank Townsend","OH","Republican","16","6","84","Ohio","039083087016"
"27","986","BRAY, William Gilmer","IN","Republican","7","4","84","Indiana","018078089007"
