"","icpsr","id","name","state_abbrev.x","V1","congress","chamber","state_icpsr","district_code","state_abbrev.y","party_code","occupancy","last_means","bioname.x","bioguide_id","born","died","nominate_dim1.x","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","bioname.y","nominate_dim1.y","state_abbrev","no","term_total","yay_per"
"1",837,"MH09000837","BOLTON, Frances Payne","OH",1,90,"House",24,22,"OH",200,0,1,"BOLTON, Frances Payne","B000607",1885,1977,0.228,-0.461,-106.90177,0.719,324,48,NA,0.215,-0.363,"BOLTON, Frances Payne",0.228,"OH",58,15,3.86666666666667
"2",2065,"MH09002065","CORBETT, Robert James","PA",1,90,"House",14,18,"PA",200,0,1,"CORBETT, Robert James","C000772",1905,1971,0.071,-0.529,-97.91068,0.755,349,47,NA,0.073,-0.523,"CORBETT, Robert James",0.071,"PA",54,15,3.6
"3",3963,"MH09003963","HALLECK, Charles Abraham","IN",1,90,"House",22,2,"IN",200,0,1,"HALLECK, Charles Abraham","H000081",1900,1986,0.272,-0.288,-87.00949,0.713,257,46,NA,0.246,-0.251,"HALLECK, Charles Abraham",0.272,"IN",51,17,3
"4",3268,"MH09003268","FORD, Gerald Rudolph, Jr.","MI",1,90,"House",23,5,"MI",200,0,1,"FORD, Gerald Rudolph, Jr.","F000260",1913,2006,0.281,-0.433,-101.95627,0.743,343,51,NA,0.287,-0.518,"FORD, Gerald Rudolph, Jr.",0.281,"MI",48,13,3.69230769230769
"5",226,"MH09000226","ARENDS, Leslie Cornelius","IL",1,90,"House",21,17,"IL",200,0,1,"ARENDS, Leslie Cornelius","A000216",1895,1985,0.301,-0.187,-104.62289,0.745,356,46,NA,0.27,-0.203,"ARENDS, Leslie Cornelius",0.301,"IL",47,20,2.35
"6",10091,"MH09010091","WIDNALL, William Beck","NJ",1,90,"House",12,7,"NJ",200,0,1,"WIDNALL, William Beck","W000445",1906,1983,0.125,-0.45,-92.48057,0.769,352,42,NA,0.056,-0.465,"WIDNALL, William Beck",0.125,"NJ",45,13,3.46153846153846
"7",518,"MH09000518","BATES, William Henry","MA",1,90,"House",3,6,"MA",200,0,1,"BATES, William Henry","B000239",1917,1969,0.196,-0.478,-86.01983,0.79,365,29,NA,0.183,-0.493,"BATES, William Henry",0.196,"MA",44,11,4
"8",8814,"MH09008814","SPRINGER, William Lee","IL",1,90,"House",21,22,"IL",200,0,1,"SPRINGER, William Lee","S000756",1909,1992,0.185,-0.186,-109.55161,0.743,368,51,NA,0.174,-0.25,"SPRINGER, William Lee",0.185,"IL",43,11,3.90909090909091
"9",1371,"MH09001371","BYRNES, John William","WI",1,90,"House",25,8,"WI",200,0,1,"BYRNES, John William","B001216",1913,1985,0.328,-0.236,-134.83112,0.691,365,69,NA,0.283,-0.294,"BYRNES, John William",0.328,"WI",42,14,3
"10",310,"MH09000310","AYRES, William Hanes","OH",1,90,"House",24,14,"OH",200,0,1,"AYRES, William Hanes","A000229",1916,2000,0.139,-0.353,-92.3597,0.762,340,40,NA,0.097,-0.248,"AYRES, William Hanes",0.139,"OH",38,10,3.8
