icpsr,fate,replaced_by,notes
1839,Holdout,Not Replaced,Retired
4487,Holdout,Not Replaced,
6061,Holdout,Not Replaced,
7781,Flipped or moderated,Not Replaced,
8663,Holdout,Not Replaced,Later died in office
731,Defeated in general,Noncommitted,"Defeated by interventionist, PRICE, Charles Melvin, regains seat, defeated by fence sitter, GRAY, Kenneth James"
7046,Holdout,Not Replaced,
3853,Holdout,Not Replaced,Retired. https://en.wikipedia.org/wiki/H._R._Gross
7044,Flipped or moderated,Not Replaced,
8709,Holdout,Not Replaced,
4720,Flipped or moderated,Not Replaced,
8533,Flipped or moderated,Not Replaced,
6922,Holdout,Not Replaced,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000097
8318,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/Errett_P._Scrivner
121,Flipped or moderated,Not Replaced,
4911,Defeated in primary,Interventionist,"Defeated by primary by VELDE, Harold Himmel, who later flips. "
6039,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/Thomas_E._Martin
7864,Retired,Noncommitted,"Replaced by Fence Sitter, BUSH, Alvin Ray and PA-15 later reped by interventionist, WALTER, Francis Eugene
http://archives.dickinson.edu/people/robert-fleming-rich-1883-1968v"
8392,Flipped or moderated,Not Replaced,
9693,Flipped or moderated,Not Replaced,"https://history.house.gov/People/Listing/V/VURSELL,-Charles-Wesley-(V000125)/"
2267,Flipped or moderated,Not Replaced,
6474,Flipped or moderated,Not Replaced,
4917,Flipped or moderated,Not Replaced,
8484,Flipped or moderated,Not Replaced,
1218,Retired,Noncommitted,"Replaced by fence sitter, HRUSKA, Roman Lee"
5020,Defeated in general,Interventionist,"Replaced by Democrat interventionist, BOYLE, Charles Augustus
https://en.wikipedia.org/wiki/Edgar_A._Jonas"
4928,Flipped or moderated,Not Replaced,
10299,Holdout,Not Replaced,
2924,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, BURNSIDE, Maurice Gwinn"
9584,Defeated in general,Interventionist,"Twice replaced by Democrat and interventionist, O'HARA, Barratt"
1702,Flipped or moderated,Not Replaced,
1723,Flipped or moderated,Not Replaced,
1928,Flipped or moderated,Not Replaced,
2159,Flipped or moderated,Not Replaced,
7779,Flipped or moderated,Not Replaced,
8193,Retired,Noncommitted,"Replaced by isolationist, BUDGE, Hamer Harold, 1215, who later moderated"
8619,Flipped or moderated,Not Replaced,"https://history.house.gov/People/Listing/S/SMITH,-Frederick-Cleveland-(S000536)/"
9144,Flipped or moderated,Not Replaced,
639,Flipped or moderated,Not Replaced,"Later died in office
https://en.wikipedia.org/wiki/John_B._Bennett"
6262,Flipped or moderated,Not Replaced,
6823,Flipped or moderated,Not Replaced,
8283,Died in office,Noncommitted,"Replaced by fence sitter, LEWIS, William, 5650"
8879,Flipped or moderated,Not Replaced,
9657,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/Harold_H._Velde
8532,Flipped or moderated,Not Replaced,
10212,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/Earl_Wilson_(politician)
10348,Retired,Interventionist,"Replaced by interventionst, CEDERBERG, Elford Albin
https://en.wikipedia.org/wiki/Roy_O._Woodruff"
1104,Flipped or moderated,Not Replaced,
2383,Flipped or moderated,Not Replaced,
3902,Flipped or moderated,Not Replaced,
5352,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, MARSHALL, Fred"
9338,Flipped or moderated,Not Replaced,
9956,Defeated in primary,Interventionist,"Replaced by Rep interventionist, GUBSER, Charles Samuel
http://www.joincalifornia.com/candidate/344"
891,Holdout,Not Replaced,
1215,Flipped or moderated,Not Replaced,
3510,Flipped or moderated,Not Replaced,
9168,Flipped or moderated,Not Replaced,
9627,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/William_Van_Pelt
248,Flipped or moderated,Not Replaced,
4941,Retired,Noncommitted,"Replace by isolationist, REED, Chauncey William, who later moderated"
6186,Retired,Interventionist,"Replaced by Democrat and interventionist, POLK, James Gould"
8284,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, MOULDER, Morgan Moore
https://en.wikipedia.org/wiki/Max_Schwabe"
9537,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, YATES, Sidney Richard"
158,Flipped or moderated,Not Replaced,
412,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, CARNAHAN, Albert Sidney Johnson"
1371,Flipped or moderated,Not Replaced,
3605,Flipped or moderated,Not Replaced,
