congress,chamber,rollnumber,type_1,type_2,reverse_vote,bill_number,dtl_desc
79,House,4,mil,draft,Y,HR1752,Hr 1752. Amend The Selective Training And Service Act Of 1940. On Short Motion To Recommit.
79,House,5,mil,draft,N,HR1752,A Bill To Amend The Selective Training And Service Act Of 1940
79,Senate,9,mil,draft,Y,HR1752,Hr 1752. Amend The Selective Training And Service Act. Bushfield Amend. To Eliminate Penalty Clause.
79,Senate,13,mil,draft,N,HR1752,Extend Selective Service
79,House,17,econ,security-military,N,HR2013,Extend Lend Lease-one Year
79,Senate,22,econ,security-military,Y,HR2013,"Hr 2013. Extend The Lend-lease Act For 1 Year. Taft Amend. Excluding From Lend-lease Furnishing Of Defense Articles, Services, Or Information For Postwar Relief. Vice Pres. Voted In The Negative To Break The Tie."
79,Senate,23,econ,nonmilitary,Y,HR2013,"Hr 2013. Langer Amend. Excluding Machinery, Implements, Or Equipment Suitable For Use On The Farm."
79,House,31,gov,supranational,N,HJRES145,Joint Resolution Providing For Us Membership In The Fao Of The U.N.
79,House,47,gov,supranational,N,HR3314,"Join Imf, World Bank"
79,Senate,58,gov,supranational,Y,HR3314,"Hr 3314. Provide For The Participation Of The U.S. In The International Monetary Fund And The International Bank For Reconstruction And Development. Taft Motion That Further Consideration Be Postponed Until Nov. 15, 1945."
79,Senate,59,gov,supranational,Y,HR3314,"Hr 3314. Taft Amend. To Provide For Amend. Of Articles Of Agreement, To Remove Restrictions In Article 8."
79,Senate,60,gov,supranational,Y,HR3314,"Hr 3314. Ball Amend. To Provide For Amend. Of Articles Of Agreement For International Monetary Fund, To Limit Or Suspend Right Of Member To Use The Fund, Where Exchange Restrictions Exist."
79,Senate,61,gov,supranational,N,HR3314,U.S. Joins In The Imf
79,Senate,63,gov,supranational,N,HJRE145,H J Res 145. Joint Resolution Providing For Membership Of The U.S. In The Fao Of The Un. Barkley Motion To Proceed To The Consideration Of.
79,Senate,65,gov,treaty,N,,"Executive F. (79th Cong., 1st Sess.) Charter Of The U.N. Ratification."
79,Senate,66,gov,supranational,Y,SRE196,"S Res 196. Resolution Proposing Acceptance By The U.S. Gov't Of Compulsory Jurisdiction Of The International Court Of Justice. Connally Amend To Insert: ""as Determined By The U.S."""
79,Senate,93,gov,supranational,Y,S1580,"S 1580. Appointment Of Representatives Of The U.S. To The Un. Taft Amend. To Restrict Vote Of U.S. Representative On The Security Council Under Articles 39, 41, Or 42."
79,House,94,gov,supranational,N,HR4649,Enable The Us To Further Participate In The Work Of The Un Relief And Rehabilitation Administration. On Passage.
79,Senate,94,gov,supranational,Y,S1580,S 1580. Donnell Amend. To Require Ratification By The Senate Of Agreements W/security Council Instead Of By Resolution Passed By Congress.
79,House,96,gov,national,Y,HRES407,Resolution Providing For The Consideration Of Hr 3937 To Repeal The War Labor Disputes Act And Abolish The National War Labor Board.
79,Senate,98,gov,national,Y,S1580,S 1580. Wheeler Amend. To Require Congressional Action To Authorize The Pres. To Use Armed Forces.
79,Senate,99,gov,supranational,Y,S1580,S 1580. Taft Amend. To Provide For U.S. Representatives On The Security Council To Urge Limitation Of Armaments And Prohibition Of Certain Weapons.
79,House,100,gov,supranational,N,S1580,Provide For The Appointment Of Representatives Of The Us In The Organizations And Agencies Of The Un.
79,Senate,100,gov,supranational,N,S150,"S 1580 Passage, Appointment Of Rep To Un"
79,Senate,141,gov,supranational,Y,SJRE138,"S J Res 138. Knowland Amend. Prohibiting Any Payment Of The Loan Until Production In The U.S. Equalled Consumption, And Receipts By The Gov't Exceeded Expenditures."
79,Senate,145,gov,supranational,Y,SJRE138,S J Res 138. Ellender Amend. Conditioning The Payment Of Any Part Of The Loan On Purchases By G. B. Of Goods And Services In The U.S. At Not Less Than 90%.
79,Senate,147,gov,supranational,N,SJRE138,"Bretton Woods Agreement, Pass"
79,House,155,mil,appropriations,Y,HR5604,"Reduce Certain Appropriations And Contractual Authorizations Available For The Fiscal Year Ending June 30, 1946."
79,House,162,gov,supranational,N,HJRE305,"Joint Resolution Providing For Membership And Participation By The Us In Unesco, And Authorizing An Appropriation."
79,House,176,gov,national,N,HR5356,Provide Assistance To The Republic Of China In Augmenting And Maintaining A Naval Establishment. On Rankin Motion That Further Proceeding Be Dispensed With.
79,House,178,mil,appropriations,Y,HR6084,"Hr 6084. Amend The Pay Readjustment Act Of 1943, As Amended, So As To Provide An Increase In Pay For Personnel Of The Army, Navy, Marine Corps Coa St Guard, Coast And Geodetic Survey, And Public Health Service. On Adoption Of Conference Report."
79,House,195,mil,appropriations,N,HR6837,Appropriations For The Military Establishment
79,House,203,gov,supranational,Y,SJRE138,S J Res 138. Joint Resolution To Implement Further The Purposes Of The Bretton Woods Agreements Act By Authorizing The Sec. Of The Treasury To Carry Out An Agreement With The United Kingdom. On Motion To Recommit With Instructions.
79,House,204,gov,supranational,N,SJRE138,S J Res 138. Joint Resolution To Implement Further The Purposes Of The Bretton Woods Agreements Act By Authorizing The Sec. Of The Treasury To Carry Out An Agreement With The United Kingdom.
80,House,32,econ,nonmilitary,Y,HJRE153,"H J Res 153. Provide For Relief Assistance To The People Of Countries Devastated By War. On Junkman Amend. To Strike Out $350,000,000 And Insert $200,000,000."
80,House,34,econ,nonmilitary,N,HJRE153,Providing For Relief Assistance To The People Of Countries Devastated By War.
80,House,37,econ,security-military,N,HR2616,Assistance To Greece And Turkey Act
80,House,38,econ,nonmilitary,Y,HJRE153,"H J Res 153. Joint Resolution Providing For Relief Assistance To The People Of Countries Devastated By War, On Motion To Recommit Conference Report W/instruction."
80,Senate,38,econ,nonmilitary,Y,S938,S 938. Provide Assistance To Greece And Turkey. Johnson (colo.) Amend. To Provide Nonmilitary Assistance.
80,Senate,39,econ,security-military,Y,S938,S 938. Robertson (wyo.) Motion To Table The Bill.
80,Senate,40,econ,security-military,N,S938,S938 Passage
80,House,50,gov,national,N,HRE224,"H Res 224. Resolution That The House Resolve Itself Into The Committee Of The Whole For Further Consideration Of Hr 3342, A Bill To Enable The Gov't More Effectively To Carry On Its Foreign Relations By Means Of Promotion Of The Interchange Of Persons Knowl Edge, And Skills Between The People Of The U.S. And Other Countries."
80,House,51,gov,national,N,HR3342,"Enable The Gov't More Effectively To Carry On Its Foreign Relations By Means Of Promotion Of The Interchange Of Persons Knowl Edge, And Skills Between The People Of The U.S. And Other Countries, And By Means Of Public Dissemination Abroad Of Information About The U.S., Its People, And Its Policies. Passage."
80,Senate,57,econ,nonmilitary,Y,HJRE153,"H J Res 153. Joint Resolution Providing For Relief Assistance To The People Of Countries Devastated By War. Kem Amend. To Strike $350,000,000 And Insert $200,000,000."
80,Senate,58,econ,nonmilitary,N,HJRE153,Relief Assistance To The People Of Countries Devastated By War
80,House,82,econ,nonmilitary,N,S1774,"Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. By Providing Supplies To Certain European Countries On An Emergency Basis. Adoption Of Conference Report."
80,House,109,econ,nonmilitary,N,S2202,"Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. Through Necessary Economic And Financial Assistance To Foreign Countries Which Undertake To Cooperate With Each Other In The Establishment And Maintenance Of Economic Conditions Essential To A Peaceful And Prosperous World. Adoption Of Conference Report."
80,House,112,mil,appropriations,N,HR6226,Supplemental Defense Appropriations
80,Senate,118,mil,appropriations,Y,HR4002,"Hr 4002. Dworshak Motion To Recommit With Instructions To Deduct $100,000,000."
80,Senate,119,mil,appropriations,N,HR4002,War Dept Appo
80,Senate,131,econ,unspecified,Y,S1774,"S 1774. Provide Supplies To Certain European Countries On An Emergency Basis. Malone Amend. To Substitute $400,000,000 For The Amount Reported By The Committee. (a Decrease)"
80,Senate,132,econ,unspecified,N,S1774,"S 1774. Provide Supplies To Certain European Countries On An Emergency Basis., Pass"
80,Senate,133,gov,treaty,N,,"Executive Ii, The Inter-american Treaty Of Reciprocal Assistance. Ratification."
80,House,137,econ,nonmilitary,N,HRE633,Foreign Aid Appropriations
80,Senate,145,econ,nonmilitary,Y,S2202,"S 2202. Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. Through Necessary Economic And Financial Assistance To Foreign Countries Which Undertake To Cooperate W/each Other In The Establishment And Maintenance Of Economic Conditions Essential To A Peaceful And Prosperous World. Ball Amend. Providing That Recipient Countries Shall Maintain A Rate Of Exchange Reflecting W/reasonable Accuracy The Relative Purchasing Power Of Such Currency."
80,House,147,mil,appropriations,N,HRES671,"Resolution Providing For The Consideration Of Hr 6401, A Bill To Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S."
80,Senate,149,econ,nonmilitary,Y,S2202,S 2202. Taft Amend. To Reduce The First Year Authorization Of Funds.
80,House,153,mil,appropriations,Y,HR6771,Hr 6771. Appropriations For Military Functions Administered By The National Military Establishment With Amendments. Motion To Recommit.
80,Senate,153,econ,nonmilitary,N,S2202,S 2202 Passage
80,House,154,mil,appropriations,N,HR6771,"Making Appropriations For Military Functions Administered By The National Military Establishment For The Fiscal Year Ending June 30, 1949, And For Other Purposes"
80,House,158,mil,appropriations,N,S2655,"Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S., Including The Reserve Components. Adoption Of Conference Report"
80,House,159,econ,nonmilitary,N,HR6801,Approprations For Foreign Aid
80,Senate,183,mil,appropriations,N,HR6226,Hr 6226. Supplemental Appropriations For The National Defense. Passage.
80,Senate,198,gov,national,N,S2242,Authorize For A Limited Period Of Time The Admission Into The U.S. Of Certain Displaced Persons For Permanent Residence.
80,Senate,210,mil,draft,Y,S2655,S 2655. Capehart Amend. Prohibiting Involuntary Induction Into The Armed Services Except Under Certain Conditions.
80,Senate,212,mil,draft,Y,S2655,S 2655. Morse Amend. Decreasing The Involuntary Induction Term Of Servicemen From 24 To 18 Monthe.
80,Senate,216,mil,appropriations,N,S2655,"Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S., Including The Reserve Components"
80,Senate,218,gov,supranational,N,SRE239,S Res 239. Resolution Reaffirming The Policy Of The U.S. To Achieve International Peace And Security Through The Un.
80,Senate,228,econ,nonmilitary,N,HR6081,For Aid Appo
81,House,7,gov,national,N,HR1211,Presidential Authorization On Tariffs
81,Senate,12,econ,nonmilitary,N,HR4830,For Aid Appo
81,Senate,39,econ,nonmilitary,Y,S1209,"S 1209. Amend The Economic Cooperation Act Of 1948. Wherry Amend. To Taft Amend. Reducing By 15% Rather Than 10%, The Authorized Appropriation For The Fiscal Year Ending June 30, 1950."
81,Senate,40,econ,nonmilitary,Y,S1209,S 1209. Taft Amend. Reducing By 10% The Authorized Appropriation In The Bill For The Fiscal Year 6/30/1950.
81,House,43,econ,nonmilitary,N,HR3748,Amend The Economic Cooperation Act Of 1948.
81,Senate,44,econ,nonmilitary,Y,S1209,S 1209. On Baldwin Amend. Prohibiting Assistance To Any Participating Country Or Protectorate During Any Period W/ Respect To Which The Sec. Of State Determines That Such Country Or Protectorate Is Violating Any Treaty With The Us.
81,Senate,53,econ,nonmilitary,Y,S1209,"S 1209. On Fulbright Amend. Inserting The Word ""political."""
81,Senate,55,econ,nonmilitary,N,S1209,Economic Cooperation For European Recovery Act
81,House,98,econ,security-military,N,HR5895,To Promote The Foreign Policy And Provide For The Defense And General Welfare Of The United States By Furnishing Military Assistance To Foreign Nations.
81,House,105,econ,nonmilitary,N,HR4830,"Appropriations For Foreign Aid For The Fiscal Year Ending June 30 1950. C Onference Report; On Motion To Recede And Concur In Senate Amend. No. 7 ($150,000,000-loans)."
81,House,123,econ,nonmilitary,N,HR5330,"To Promote World Peace And The General Welfare, National Interest, And Foreign Policy Of The United States By Providing Aid To The Republic Of Korea."
81,Senate,127,gov,treaty,Y,,Nap. Watkins Reservation Providing That Under Article V The Congress Is Not Obligated To Declare War Or Authorize Military Assistance In The Event Of Armed Attack On Any Party To The Treaty.
81,Senate,128,gov,treaty,N,,"Join Nato, Nap. Resolution Of Ratification (2/3 Majority Required)."
81,Senate,130,econ,nonmilitary,Y,HR4830,"Hr 4830. Second Committee Amend., Reducing Funds To Carry Out Provisions Of The Economic Cooperation Act For Economic Aid To Europe."
